Series_A,Radius_A,Series_B,Radius_B,overlap,r,r_wuchs,t,t_wuchs,SGC,SSGC,p
065169,A,068034,0,106,0.56445191,0.60957174,7.00684367,7.84179897,0.73333333,0.08571429,0.0000017364
065169,A,068034,A,106,0.61362069,0.50590095,7.96318838,5.98104339,0.73333333,0.04761905,0.0000017364
065169,A,068089,Q,93,0.19173636,0.51330247,1.87383689,5.70560371,0.70652174,0.04347826,0.0000743950
068_QT01,R,068_QT02,R,114,0.75510837,0.57598248,12.24361229,7.45676898,0.72566372,0.00884956,0.0000016052
068_QT01,R,068_QT06,R,111,0.90926695,0.83241065,22.91245696,15.68253492,0.85454545,0.01818182,0.0000000000
068_QT01,R,068022,0,114,0.16097680,0.53243920,1.73381902,6.65684375,0.71681416,0.00884956,0.0000040358
068_QT01,R,068032,0,97,0.86100409,0.82094314,16.58693560,14.01300289,0.82291667,0.02083333,0.0000000002
068_QT01,R,068032,A,86,0.78234453,0.70160691,11.58048894,9.02421637,0.77647059,0.01176471,0.0000003435
068_QT01,R,068032,B,76,0.78915620,0.86717190,11.12728110,14.97903815,0.82666667,0.01333333,0.0000000153
068_QT01,R,068072,0,94,0.41086702,0.58486459,4.34603327,6.91605242,0.70967742,0.03225806,0.0000525219
068_QT01,R,068072,B,94,0.40532518,0.50418073,4.27579498,5.59974750,0.74193548,0.01075269,0.0000030670
068_QT01,R,068075,0,85,0.87809810,0.72567847,16.81970217,9.60889397,0.73809524,0.03571429,0.0000127497
068_QT01,R,068075,A,85,0.85147665,0.68729035,14.88181501,8.62012841,0.76190476,0.01190476,0.0000015804
068_QT01,R,068082,0,102,0.91093334,0.79218547,22.19049251,12.98067986,0.85148515,0.01980198,0.0000000000
068_QT01,R,068082,A,97,0.88087141,0.79548805,18.23310289,12.79513450,0.83333333,0.00000000,0.0000000001
068_QT01,R,068082,B,95,0.88479494,0.68762979,18.40936179,9.13319553,0.79787234,0.00000000,0.0000000077
068_QT01,R,068115,A,85,0.33769774,0.61891393,3.28821861,7.17870128,0.77380952,0.02380952,0.0000005194
068_QT01,R,068120,A,98,0.44628665,0.55297667,4.91168011,6.50271719,0.72164948,0.01030928,0.0000126549
068_QT01,R,ELT0003,0,99,0.71580677,0.62063037,10.14770383,7.79552950,0.72448980,0.01020408,0.0000088026
068_QT01,R,ELT0003,1,99,0.71948951,0.64662131,10.25564989,8.34869965,0.73469388,0.01020408,0.0000033728
068_QT02,R,068_QT01,R,114,0.75510837,0.57598248,12.24361229,7.45676898,0.72566372,0.00884956,0.0000016052
068_QT02,R,068022,C,133,0.08341556,0.58782843,0.96172352,8.31659261,0.68939394,0.03787879,0.0000134937
068_QT02,R,068024,0,125,0.73897663,0.72437993,12.21391724,11.65325013,0.70967742,0.03225806,0.0000030158
068_QT02,R,068024,A,125,0.72329183,0.69914044,11.66363713,10.84477211,0.70161290,0.01612903,0.0000071179
068_QT02,R,068026,B,64,0.58527607,0.59726277,5.72926678,5.86357139,0.79365079,0.03174603,0.0000031382
